comet-11-19,comet-11-20
# OSU MPI Latency Test v4.4.1
# Size          Latency (us)
comet-11-26,comet-11-36
comet-11-27,comet-11-19
comet-11-27,comet-11-20
comet-11-27,comet-11-21
comet-11-27,comet-11-22
comet-11-27,comet-11-23
comet-11-27,comet-11-24
comet-11-27,comet-11-25
comet-11-27,comet-11-26
comet-11-27,comet-11-28
comet-11-27,comet-11-29
comet-11-27,comet-11-30
comet-11-27,comet-11-31
comet-11-27,comet-11-32
comet-11-27,comet-11-33
comet-11-27,comet-11-34
comet-11-27,comet-11-35
comet-11-27,comet-11-36
comet-11-28,comet-11-19
comet-11-28,comet-11-20
comet-11-28,comet-11-21
comet-11-28,comet-11-22
comet-11-28,comet-11-23
comet-11-28,comet-11-24
comet-11-28,comet-11-25
comet-11-28,comet-11-26
comet-11-28,comet-11-27
comet-11-28,comet-11-29
comet-11-28,comet-11-30
comet-11-28,comet-11-31
comet-11-28,comet-11-32
comet-11-28,comet-11-33
comet-11-28,comet-11-34
comet-11-28,comet-11-35
comet-11-28,comet-11-36
comet-11-29,comet-11-19
comet-11-29,comet-11-20
comet-11-29,comet-11-21
comet-11-29,comet-11-22
comet-11-29,comet-11-23
comet-11-29,comet-11-24
comet-11-29,comet-11-25
comet-11-29,comet-11-26
comet-11-29,comet-11-27
comet-11-29,comet-11-28
comet-11-29,comet-11-30
comet-11-29,comet-11-31
comet-11-29,comet-11-32
comet-11-29,comet-11-33
comet-11-29,comet-11-34
comet-11-29,comet-11-35
comet-11-29,comet-11-36
comet-11-30,comet-11-19
comet-11-30,comet-11-20
comet-11-30,comet-11-21
comet-11-30,comet-11-22
comet-11-30,comet-11-23
comet-11-30,comet-11-24
comet-11-30,comet-11-25
comet-11-30,comet-11-26
comet-11-30,comet-11-27
comet-11-30,comet-11-28
comet-11-30,comet-11-29
comet-11-30,comet-11-31
comet-11-30,comet-11-32
comet-11-30,comet-11-33
comet-11-30,comet-11-34
comet-11-30,comet-11-35
comet-11-30,comet-11-36
comet-11-31,comet-11-19
comet-11-31,comet-11-20
comet-11-31,comet-11-21
comet-11-31,comet-11-22
comet-11-31,comet-11-23
comet-11-31,comet-11-24
comet-11-31,comet-11-25
comet-11-31,comet-11-26
comet-11-31,comet-11-27
comet-11-31,comet-11-28
comet-11-31,comet-11-29
comet-11-31,comet-11-30
comet-11-31,comet-11-32
comet-11-31,comet-11-33
comet-11-31,comet-11-34
comet-11-31,comet-11-35
comet-11-31,comet-11-36
comet-11-32,comet-11-19
comet-11-32,comet-11-20
comet-11-32,comet-11-21
comet-11-32,comet-11-22
comet-11-32,comet-11-23
comet-11-32,comet-11-24
comet-11-32,comet-11-25
comet-11-32,comet-11-26
comet-11-32,comet-11-27
comet-11-32,comet-11-28
comet-11-32,comet-11-29
comet-11-32,comet-11-30
comet-11-32,comet-11-31
comet-11-32,comet-11-33
comet-11-32,comet-11-34
comet-11-32,comet-11-35
comet-11-32,comet-11-36
comet-11-33,comet-11-19
comet-11-33,comet-11-20
comet-11-33,comet-11-21
comet-11-33,comet-11-22
comet-11-33,comet-11-23
comet-11-33,comet-11-24
comet-11-33,comet-11-25
comet-11-33,comet-11-26
comet-11-33,comet-11-27
comet-11-33,comet-11-28
comet-11-33,comet-11-29
comet-11-33,comet-11-30
comet-11-33,comet-11-31
comet-11-33,comet-11-32
comet-11-33,comet-11-34
comet-11-33,comet-11-35
comet-11-33,comet-11-36
comet-11-34,comet-11-19
comet-11-34,comet-11-20
comet-11-34,comet-11-21
comet-11-34,comet-11-22
comet-11-34,comet-11-23
comet-11-34,comet-11-24
comet-11-34,comet-11-25
comet-11-34,comet-11-26
comet-11-34,comet-11-27
comet-11-34,comet-11-28
comet-11-34,comet-11-29
comet-11-34,comet-11-30
comet-11-34,comet-11-31
comet-11-34,comet-11-32
comet-11-34,comet-11-33
comet-11-34,comet-11-35
comet-11-34,comet-11-36
comet-11-35,comet-11-19
comet-11-35,comet-11-20
comet-11-35,comet-11-21
comet-11-35,comet-11-22
comet-11-35,comet-11-23
comet-11-35,comet-11-24
comet-11-35,comet-11-25
comet-11-35,comet-11-26
comet-11-35,comet-11-27
comet-11-35,comet-11-28
comet-11-35,comet-11-29
comet-11-35,comet-11-30
comet-11-35,comet-11-31
comet-11-35,comet-11-32
comet-11-35,comet-11-33
comet-11-35,comet-11-34
comet-11-35,comet-11-36
